"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,1,0,0,1,1398,0,0,1,1398,0,0,1,1398,0,0,0,0,0,0,1,1398,0,0,0,0,0,0,0,0,1,1398
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,1,0,0,1,1398,0,0,1,1398,0,0,1,1398,0,0,0,0,0,0,1,1398,0,0,0,0,0,0,0,0,1,1398
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",81,4,4099,27,33959,2,4368,25,29591,14,50361,27,33959,12,52887,10,45762,2,7125,35,89317,7,50759,1,850,4,9692,0,0,46,151896
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",19,1,158,11,16575,5,7488,6,9087,1,158,11,16575,2,7900,0,0,2,7900,12,21283,1,4550,1,250,3,12747,0,0,15,41930
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family Financial Planning",2,1,1454,0,0,0,0,0,0,1,1454,0,0,0,0,0,0,0,0,1,1454,0,0,0,0,0,0,0,0,1,1454
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",6,0,0,4,11232,4,11232,0,0,1,2000,4,11232,1,2000,1,2000,0,0,4,12007,1,775,0,0,0,0,0,0,4,14007
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",73,4,3746,24,27992,5,7488,19,20504,10,19088,24,27992,8,24138,7,14842,1,9296,30,64765,6,32527,0,0,0,0,0,0,35,88903
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",Housing,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5145,1,5145,0,0,0,0,0,0,1,5145
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",20,1,1637,9,17013,1,936,8,16077,5,8437,9,17013,5,8800,4,6800,1,2000,14,36925,4,18275,0,0,0,0,0,0,15,45725
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",10,0,0,5,6998,1,1872,4,5126,1,4291,5,6998,1,4291,1,4291,0,0,5,6998,0,0,0,0,1,5463,0,0,6,16752
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,214,11,11094,80,113769,18,33384,62,80385,33,85789,80,113769,29,100016,23,73695,6,26321,102,237894,20,112031,2,1100,8,27902,0,0,123,365812
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Consumer Foods",14,0,0,8,10896,3,5304,5,5592,2,8425,8,10896,2,8425,2,8425,0,0,8,10896,0,0,0,0,0,0,0,0,9,19321
