"DEGREE_LEVEL","DEGREE","COLLEGE","DEPARTMENT","MAJOR","ENROLLED_STUDENTS","PELL_COUNT","PELL_AMT","HOPE_ZELL_COUNT","HOPE_ZELL_AMT","ZELL_COUNT","ZELL_AMT","HOPE_COUNT","HOPE_AMT","FED_AID_COUNT","FED_AID_AMT","STATE_AID_COUNT","STATE_AID_AMT","LOAN_ALL_LOANS_COUNT","LOAN_ALL_LOANS_AMT","LOAN_FED_AID_COUNT","LOAN_FED_AID_AMT","LOAN_NON_FED_AID_COUNT","LOAN_NON_FED_AID_AMT","GRANT_SCH_AID_COUNT","GRANT_SCH_AID_AMT","GRANT_SCH_UGA_AID_COUNT","GRANT_SCH_UGA_AID_AMT","GRANT_SCH_UGA_NEED_AID_COUNT","GRANT_SCH_UGA_NEED_AID_AMT","EXEMPTION_NONSCHOL_COUNT","EXEMPTION_NONSCHOL_AMT","EXEMPTION_AS_SCHOL_COUNT","EXEMPTION_AS_SCHOL_AMT","ALL_AID_COUNT","ALL_AID_AMT"
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",Unspecified,6,1,372,4,18013,3,14685,1,3328,2,9367,4,18013,2,8995,2,8995,0,0,4,18385,0,0,0,0,1,4895,0,0,5,32275
Bachelor's,BSFCS,"College of Fam and Consumr Sci","College of Fam and Consum Sci",,6,1,372,4,18013,3,14685,1,3328,2,9367,4,18013,2,8995,2,8995,0,0,4,18385,0,0,0,0,1,4895,0,0,5,32275
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Economics",122,29,67553,45,147642,4,17594,41,130048,55,328655,46,151386,48,300267,45,258102,7,42165,74,305730,14,88035,3,7250,7,28817,0,0,95,637314
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Consumer Journalism",35,3,7091,21,89747,13,63635,8,26112,13,81634,21,89747,13,79543,12,74543,1,5000,24,104063,2,850,0,0,2,15166,1,835113,31,203532
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Family and Consumer Sci Educ",10,4,10689,9,37787,5,24475,4,13312,5,23248,9,37787,3,9559,3,9559,0,0,10,59076,6,7350,2,5300,0,0,0,0,10,71135
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Financial Planning",211,59,154724,93,342892,20,97900,74,244992,112,629199,94,347787,92,556555,85,465475,12,91080,129,625582,23,104422,12,24333,2,12429,4,3160154,161,1228126
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Housing Management & Policy",31,10,23271,11,41759,1,4895,10,36864,17,77340,13,49759,13,84625,12,54069,5,30556,22,177831,10,112801,1,500,0,0,0,0,27,262456
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ","Intended Consumer Journalism",21,4,10713,11,41309,3,14685,8,26624,9,65700,11,41309,8,54987,8,54987,0,0,14,56222,5,3050,1,500,0,0,3,2554896,17,130249
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Finan Plan Hous and Cons Econ",,430,109,274041,190,701136,46,223184,145,477952,211,1205776,194,717775,177,1085536,165,916735,25,168801,273,1328504,60,316508,19,37883,11,56412,8,6550163,341,2532812
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Culinary Science & Nutrition",15,4,7652,6,25949,3,14685,3,11264,4,13652,6,25949,3,8500,2,6000,1,2500,9,47326,3,12725,0,0,1,4895,0,0,11,60721
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",Dietetics,42,4,10233,26,92788,8,35188,18,57600,15,86401,26,92788,13,81666,13,76168,1,5498,32,116646,7,10375,1,5000,0,0,1,725759,34,207832
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Intended Dietetics",104,24,59398,63,267038,34,166430,29,100608,47,261353,63,267038,42,244611,40,197955,6,46656,80,345286,11,14950,3,5800,2,19040,11,9046391,95,663797
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition","Nutritional Sciences",203,32,72481,164,705781,105,511989,60,193792,74,410763,165,711727,62,380532,59,323282,7,57250,172,859265,24,58653,9,21067,0,0,11,8702637,192,1309417
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Foods and Nutrition",,364,64,149764,259,1091556,150,728292,110,363264,140,772169,260,1097502,120,715309,114,603405,15,111904,293,1368523,45,96703,13,31867,3,23935,23,18474787,332,2241767
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Human Dev and Family Sci","Human Development and Fam Sci",496,72,175709,375,1557032,202,974888,174,582144,191,1043000,377,1568910,160,893272,157,837508,11,55764,408,2077379,66,288713,32,48193,11,88859,13,10659517,446,3148933
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Human Dev and Family Sci",,496,72,175709,375,1557032,202,974888,174,582144,191,1043000,377,1568910,160,893272,157,837508,11,55764,408,2077379,66,288713,32,48193,11,88859,13,10659517,446,3148933
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors","Fashion Merchandising",233,38,90934,142,555689,51,245673,91,310016,102,714346,142,555689,95,711735,89,615912,11,95823,160,714981,21,55733,6,9375,6,57120,7,5536084,194,1522156
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors","Furnishings and Interiors",43,6,10994,30,102578,10,44978,20,57600,18,135178,30,102578,16,124184,16,124184,0,0,34,121970,9,4525,0,0,0,0,2,1519413,37,255674
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors","Intended Furnish and Interiors",17,0,0,13,52635,5,24475,8,28160,4,12125,13,54035,4,13525,4,12125,1,1400,13,56885,1,1000,0,0,1,9520,0,0,14,79930
Bachelor's,BSFCS,"College of Fam and Consumr Sci","Textiles, Merchand, Interiors",,293,44,101928,185,710902,66,315126,119,395776,124,861649,185,712302,115,849444,109,752221,12,97223,207,893836,31,61258,6,9375,7,66640,9,7055497,245,1857760
Bachelor's,BSFCS,"College of Fam and Consumr Sci",,,1589,290,701814,1013,4078639,467,2256175,549,1822464,668,3891961,1020,4114502,574,3552556,547,3118864,63,433692,1185,5686627,202,763182,70,127318,33,240741,53,42739964,1369,9813547
Bachelor's,BSFCS,,,,1589,290,701814,1013,4078639,467,2256175,549,1822464,668,3891961,1020,4114502,574,3552556,547,3118864,63,433692,1185,5686627,202,763182,70,127318,33,240741,53,42739964,1369,9813547
Bachelor's,,,,,1589,290,701814,1013,4078639,467,2256175,549,1822464,668,3891961,1020,4114502,574,3552556,547,3118864,63,433692,1185,5686627,202,763182,70,127318,33,240741,53,42739964,1369,9813547
,,,,,1589,290,701814,1013,4078639,467,2256175,549,1822464,668,3891961,1020,4114502,574,3552556,547,3118864,63,433692,1185,5686627,202,763182,70,127318,33,240741,53,42739964,1369,9813547
